cohort_id,collection_point_id,id,attribute,branch_id,created_at,created_by,date,day,end_time,is_active,name,reason,remarks,start_time,status,updated_at,updated_by,visit_number,visitor_id,visitor_name,week
e64173ea-09d7-4ddc-af63-3158e14ae3b2,0be7c980-2eb0-4159-a991-0682da50ee65,c6cbdaca-54c6-4bb2-9cdf-3038e53dbf09,"{""enterprise"":"""",""husFather"":""f"",""khanaId"":""01"",""lat"":""0.0"",""lon"":""0.0"",""participantName"":""Shanta"",""spotName"":""Pulpar"",""village"":""Shatgram""}",14efa4e3-e496-49fc-8f08-36d0a6dcbb7a,2024-06-23 12:17:59.827+0000,936b9d01-3645-43fe-a7d0-cc1ad59b2c4a,2024-12-29 00:00:00.000+0000,29,2024-12-29 01:30:00.000+0000,true,Point A,,,2024-12-29 00:00:00.000+0000,CREATED,2024-06-23 12:17:59.827+0000,,53,936b9d01-3645-43fe-a7d0-cc1ad59b2c4a,Nuruzzaman,5
e64173ea-09d7-4ddc-af63-3158e14ae3b2,0be7c980-2eb0-4159-a991-0682da50ee65,ef366d77-93e6-4370-9473-c68aa50f3168,"{""enterprise"":"""",""husFather"":""f"",""khanaId"":""01"",""lat"":""0.0"",""lon"":""0.0"",""participantName"":""Shanta"",""spotName"":""Pulpar"",""village"":""Shatgram""}",14efa4e3-e496-49fc-8f08-36d0a6dcbb7a,2024-06-23 12:17:59.827+0000,936b9d01-3645-43fe-a7d0-cc1ad59b2c4a,2024-12-01 00:00:00.000+0000,1,2024-12-01 01:30:00.000+0000,true,Point A,,,2024-12-01 00:00:00.000+0000,CREATED,2024-06-23 12:17:59.827+0000,,51,936b9d01-3645-43fe-a7d0-cc1ad59b2c4a,Nuruzzaman,1
e64173ea-09d7-4ddc-af63-3158e14ae3b2,0be7c980-2eb0-4159-a991-0682da50ee65,f3aed4db-06e1-4c1f-8751-aabda889e627,"{""enterprise"":"""",""husFather"":""f"",""khanaId"":""01"",""lat"":""0.0"",""lon"":""0.0"",""participantName"":""Shanta"",""spotName"":""Pulpar"",""village"":""Shatgram""}",14efa4e3-e496-49fc-8f08-36d0a6dcbb7a,2024-06-23 12:17:59.827+0000,936b9d01-3645-43fe-a7d0-cc1ad59b2c4a,2024-01-01 00:00:00.000+0000,1,2024-01-01 18:18:00.000+0000,true,Point A,2fc4a701-b446-416c-a144-0b26f7362cbb,n/a,2024-01-01 12:18:00.000+0000,CREATED,2024-06-23 12:19:06.938+0000,936b9d01-3645-43fe-a7d0-cc1ad59b2c4a,40,936b9d01-3645-43fe-a7d0-cc1ad59b2c4a,Nuruzzaman,1
e64173ea-09d7-4ddc-af63-3158e14ae3b2,11058f73-5895-4b72-84f4-385fa1c9529d,0e864600-8af6-426e-95c7-713624bb21ed,"{""enterprise"":"""",""husFather"":""abba"",""khanaId"":""03"",""lat"":""0.0"",""lon"":""0.0"",""participantName"":""Tuli"",""spotName"":""BotTola"",""village"":""Shantinogor""}",7e4c930c-c6a1-4ff1-8877-a3822fc95ca3,2024-05-19 09:35:00.135+0000,344abff2-2864-4487-a79e-e445da4eaa9c,2024-10-20 00:00:00.000+0000,20,2024-10-20 01:30:00.000+0000,true,spot,,,2024-10-20 00:00:00.000+0000,CREATED,2024-05-19 09:35:00.135+0000,,48,344abff2-2864-4487-a79e-e445da4eaa9c,David Brown,4
e64173ea-09d7-4ddc-af63-3158e14ae3b2,11058f73-5895-4b72-84f4-385fa1c9529d,1679ce6c-5d8b-46e2-a68b-fbb9dc7b2b7f,"{""enterprise"":"""",""husFather"":""abba"",""khanaId"":""03"",""lat"":""0.0"",""lon"":""0.0"",""participantName"":""Tuli"",""spotName"":""BotTola"",""village"":""Shantinogor""}",7e4c930c-c6a1-4ff1-8877-a3822fc95ca3,2024-05-19 09:35:00.135+0000,344abff2-2864-4487-a79e-e445da4eaa9c,2024-06-16 00:00:00.000+0000,16,2024-06-16 01:30:00.000+0000,true,spot,,,2024-06-16 00:00:00.000+0000,CREATED,2024-05-19 09:35:00.135+0000,,39,344abff2-2864-4487-a79e-e445da4eaa9c,David Brown,4
e64173ea-09d7-4ddc-af63-3158e14ae3b2,11058f73-5895-4b72-84f4-385fa1c9529d,1a427f5c-b3cf-4f2e-9cb7-21fd05ec0101,"{""enterprise"":"""",""husFather"":""abba"",""khanaId"":""03"",""lat"":""0.0"",""lon"":""0.0"",""participantName"":""Tuli"",""spotName"":""BotTola"",""village"":""Shantinogor""}",7e4c930c-c6a1-4ff1-8877-a3822fc95ca3,2024-05-19 09:35:00.135+0000,344abff2-2864-4487-a79e-e445da4eaa9c,2024-06-30 00:00:00.000+0000,30,2024-06-30 01:30:00.000+0000,true,spot,,,2024-06-30 00:00:00.000+0000,CREATED,2024-05-19 09:35:00.135+0000,,40,344abff2-2864-4487-a79e-e445da4eaa9c,David Brown,6
e64173ea-09d7-4ddc-af63-3158e14ae3b2,11058f73-5895-4b72-84f4-385fa1c9529d,282bde5a-8107-406b-b1e9-93575878a387,"{""enterprise"":"""",""husFather"":""abba"",""khanaId"":""03"",""lat"":""0.0"",""lon"":""0.0"",""participantName"":""Tuli"",""spotName"":""BotTola"",""village"":""Shantinogor""}",7e4c930c-c6a1-4ff1-8877-a3822fc95ca3,2024-05-19 09:35:00.135+0000,344abff2-2864-4487-a79e-e445da4eaa9c,2024-12-01 00:00:00.000+0000,1,2024-12-01 01:30:00.000+0000,true,spot,,,2024-12-01 00:00:00.000+0000,CREATED,2024-05-19 09:35:00.135+0000,,51,344abff2-2864-4487-a79e-e445da4eaa9c,David Brown,1
e64173ea-09d7-4ddc-af63-3158e14ae3b2,11058f73-5895-4b72-84f4-385fa1c9529d,366163f1-a4d6-476f-be8b-4dc72d7addd1,"{""enterprise"":"""",""husFather"":""abba"",""khanaId"":""03"",""lat"":""0.0"",""lon"":""0.0"",""participantName"":""Tuli"",""spotName"":""BotTola"",""village"":""Shantinogor""}",7e4c930c-c6a1-4ff1-8877-a3822fc95ca3,2024-05-19 09:35:00.135+0000,344abff2-2864-4487-a79e-e445da4eaa9c,2024-08-25 00:00:00.000+0000,25,2024-08-25 01:30:00.000+0000,true,spot,,,2024-08-25 00:00:00.000+0000,CREATED,2024-05-19 09:35:00.135+0000,,44,344abff2-2864-4487-a79e-e445da4eaa9c,David Brown,5
e64173ea-09d7-4ddc-af63-3158e14ae3b2,11058f73-5895-4b72-84f4-385fa1c9529d,38d5aef0-2644-4803-b490-8fd4036fe2b3,"{""enterprise"":"""",""husFather"":""abba"",""khanaId"":""03"",""lat"":""0.0"",""lon"":""0.0"",""participantName"":""Tuli"",""spotName"":""BotTola"",""village"":""Shantinogor""}",7e4c930c-c6a1-4ff1-8877-a3822fc95ca3,2024-05-19 09:35:00.135+0000,344abff2-2864-4487-a79e-e445da4eaa9c,2024-11-03 00:00:00.000+0000,3,2024-11-03 01:30:00.000+0000,true,spot,,,2024-11-03 00:00:00.000+0000,CREATED,2024-05-19 09:35:00.135+0000,,49,344abff2-2864-4487-a79e-e445da4eaa9c,David Brown,2
e64173ea-09d7-4ddc-af63-3158e14ae3b2,11058f73-5895-4b72-84f4-385fa1c9529d,3900e34c-89a3-42a9-89b3-9a6a7ab5dd4e,"{""enterprise"":"""",""husFather"":""abba"",""khanaId"":""03"",""lat"":""0.0"",""lon"":""0.0"",""participantName"":""Tuli"",""spotName"":""BotTola"",""village"":""Shantinogor""}",7e4c930c-c6a1-4ff1-8877-a3822fc95ca3,2024-05-19 09:35:00.135+0000,344abff2-2864-4487-a79e-e445da4eaa9c,2024-12-29 00:00:00.000+0000,29,2024-12-29 01:30:00.000+0000,true,spot,,,2024-12-29 00:00:00.000+0000,CREATED,2024-05-19 09:35:00.135+0000,,53,344abff2-2864-4487-a79e-e445da4eaa9c,David Brown,5
